H.PERIOD,DD.PERIOD.t,UD.PERIOD.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.5,UD.e.5,H.5,DD.5.SHIFT,UD.5.SHIFT,H.SHIFT,DD.SHIFT.R,UD.SHIFT.R,H.R,DD.R.o,UD.R.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return
94.0,234.0,140.0,78.0,187.0,109.0,110.0,266.0,156.0,109.0,249.0,140.0,78.0,453.0,375.0,468.0,296.0,-172.0,140.0,406.0,266.0,109.0,358.0,249.0,110.0,125.0,15.0,78.0,375.0,297.0,109.0,390.0,281.0
109.0,234.0,125.0,94.0,234.0,140.0,94.0,281.0,187.0,109.0,983.0,874.0,109.0,359.0,250.0,358.0,234.0,-124.0,124.0,249.0,125.0,94.0,203.0,109.0,156.0,187.0,31.0,125.0,219.0,94.0,124.0,468.0,344.0
109.0,265.0,156.0,109.0,203.0,94.0,109.0,250.0,141.0,93.0,327.0,234.0,109.0,312.0,203.0,359.0,203.0,-156.0,125.0,203.0,78.0,93.0,187.0,94.0,140.0,156.0,16.0,125.0,218.0,93.0,110.0,546.0,436.0
125.0,297.0,172.0,93.0,218.0,125.0,109.0,203.0,94.0,94.0,265.0,171.0,78.0,265.0,187.0,312.0,172.0,-140.0,140.0,187.0,47.0,94.0,203.0,109.0,140.0,172.0,32.0,124.0,312.0,188.0,93.0,296.0,203.0
124.0,546.0,422.0,78.0,93.0,15.0,125.0,281.0,156.0,109.0,250.0,141.0,78.0,249.0,171.0,312.0,187.0,-125.0,110.0,172.0,62.0,109.0,172.0,63.0,140.0,140.0,0.0,140.0,203.0,63.0,125.0,327.0,202.0
94.0,141.0,47.0,109.0,187.0,78.0,93.0,203.0,110.0,93.0,249.0,156.0,94.0,265.0,171.0,281.0,188.0,-93.0,109.0,187.0,78.0,93.0,156.0,63.0,140.0,171.0,31.0,156.0,188.0,32.0,124.0,327.0,203.0
125.0,219.0,94.0,78.0,124.0,46.0,125.0,359.0,234.0,109.0,281.0,172.0,94.0,250.0,156.0,249.0,171.0,-78.0,109.0,172.0,63.0,109.0,187.0,78.0,109.0,140.0,31.0,125.0,203.0,78.0,125.0,359.0,234.0
94.0,156.0,62.0,94.0,156.0,62.0,109.0,234.0,125.0,78.0,312.0,234.0,94.0,281.0,187.0,234.0,172.0,-62.0,124.0,202.0,78.0,94.0,156.0,62.0,125.0,125.0,0.0,141.0,203.0,62.0,125.0,375.0,250.0
94.0,390.0,296.0,78.0,109.0,31.0,110.0,250.0,140.0,94.0,250.0,156.0,78.0,358.0,280.0,203.0,110.0,-93.0,124.0,202.0,78.0,110.0,172.0,62.0,109.0,125.0,16.0,156.0,203.0,47.0,124.0,405.0,281.0
94.0,218.0,124.0,110.0,203.0,93.0,94.0,203.0,109.0,125.0,250.0,125.0,109.0,296.0,187.0,312.0,187.0,-125.0,109.0,172.0,63.0,93.0,156.0,63.0,109.0,140.0,31.0,94.0,234.0,140.0,94.0,297.0,203.0
109.0,218.0,109.0,94.0,187.0,93.0,94.0,250.0,156.0,78.0,187.0,109.0,94.0,234.0,140.0,296.0,203.0,-93.0,109.0,187.0,78.0,94.0,125.0,31.0,125.0,203.0,78.0,93.0,249.0,156.0,125.0,359.0,234.0
93.0,249.0,156.0,63.0,172.0,109.0,109.0,187.0,78.0,109.0,250.0,141.0,93.0,249.0,156.0,312.0,187.0,-125.0,125.0,203.0,78.0,94.0,141.0,47.0,109.0,171.0,62.0,125.0,187.0,62.0,110.0,312.0,202.0
110.0,234.0,124.0,94.0,188.0,94.0,109.0,187.0,78.0,109.0,218.0,109.0,94.0,250.0,156.0,265.0,171.0,-94.0,125.0,172.0,47.0,78.0,172.0,94.0,78.0,124.0,46.0,110.0,422.0,312.0,124.0,936.0,812.0
109.0,250.0,141.0,93.0,203.0,110.0,124.0,202.0,78.0,110.0,250.0,140.0,125.0,265.0,140.0,266.0,172.0,-94.0,125.0,203.0,78.0,93.0,125.0,32.0,124.0,234.0,110.0,93.0,249.0,156.0,109.0,593.0,484.0
109.0,203.0,94.0,109.0,202.0,93.0,110.0,219.0,109.0,109.0,234.0,125.0,109.0,265.0,156.0,281.0,187.0,-94.0,125.0,187.0,62.0,94.0,156.0,62.0,141.0,172.0,31.0,94.0,218.0,124.0,94.0,312.0,218.0
109.0,234.0,125.0,109.0,203.0,94.0,93.0,156.0,63.0,109.0,218.0,109.0,109.0,250.0,141.0,296.0,203.0,-93.0,124.0,202.0,78.0,94.0,156.0,62.0,125.0,141.0,16.0,93.0,203.0,110.0,109.0,327.0,218.0
125.0,218.0,93.0,94.0,156.0,62.0,125.0,172.0,47.0,125.0,234.0,109.0,109.0,234.0,125.0,281.0,187.0,-94.0,125.0,234.0,109.0,78.0,125.0,47.0,140.0,171.0,31.0,110.0,203.0,93.0,109.0,359.0,250.0
109.0,234.0,125.0,93.0,187.0,94.0,93.0,187.0,94.0,109.0,218.0,109.0,110.0,234.0,124.0,312.0,203.0,-109.0,125.0,219.0,94.0,93.0,171.0,78.0,141.0,187.0,46.0,78.0,234.0,156.0,94.0,328.0,234.0
78.0,218.0,140.0,109.0,250.0,141.0,93.0,203.0,110.0,93.0,249.0,156.0,94.0,312.0,218.0,297.0,172.0,-125.0,140.0,203.0,63.0,93.0,202.0,109.0,156.0,188.0,32.0,93.0,249.0,156.0,94.0,343.0,249.0
94.0,156.0,62.0,109.0,219.0,110.0,124.0,265.0,141.0,171.0,374.0,203.0,109.0,281.0,172.0,296.0,156.0,-140.0,125.0,187.0,62.0,125.0,250.0,125.0,156.0,171.0,15.0,78.0,203.0,125.0,125.0,312.0,187.0
110.0,219.0,109.0,93.0,203.0,110.0,109.0,202.0,93.0,125.0,250.0,125.0,94.0,296.0,202.0,297.0,203.0,-94.0,156.0,203.0,47.0,109.0,234.0,125.0,140.0,140.0,0.0,110.0,250.0,140.0,125.0,328.0,203.0
