H.PERIOD,DD.PERIOD.t,UD.PERIOD.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.5,UD.e.5,H.5,DD.5.SHIFT,UD.5.SHIFT,H.SHIFT,DD.SHIFT.R,UD.SHIFT.R,H.R,DD.R.o,UD.R.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return
78.0,952.0,874.0,78.0,140.0,62.0,94.0,390.0,296.0,110.0,756.5,756.5,109.0,1248.0,1139.0,437.0,265.0,-172.0,78.0,577.0,499.0,94.0,756.5,756.5,94.0,765.0,671.0,78.0,748.0,670.0,94.0,999.0,905.0
94.0,936.0,842.0,78.0,125.0,47.0,109.0,437.0,328.0,109.0,865.5,865.5,94.0,1092.0,998.0,406.0,234.0,-172.0,94.0,865.5,865.5,110.0,983.0,873.0,109.0,858.0,749.0,94.0,593.0,499.0,94.0,998.0,904.0
78.0,663.5,663.5,94.0,156.0,62.0,94.0,437.0,343.0,109.0,1919.0,1810.0,125.0,1607.0,1482.0,390.0,187.0,-203.0,109.0,2012.0,1903.0,110.0,718.0,608.0,125.0,530.0,405.0,78.0,609.0,531.0,93.0,1061.0,968.0
78.0,951.0,873.0,94.0,141.0,47.0,109.0,436.0,327.0,110.0,2060.0,1950.0,93.0,1014.0,921.0,343.0,171.0,-172.0,94.0,2137.0,2043.0,94.0,936.0,936.0,94.0,453.0,359.0,109.0,982.0,873.0,94.0,1233.0,1139.0
78.0,2574.0,2496.0,93.0,156.0,63.0,93.0,1310.0,1217.0,109.0,1825.0,1716.0,94.0,671.0,577.0,421.0,250.0,-171.0,93.0,1731.0,1638.0,94.0,983.0,889.0,94.0,218.0,124.0,94.0,624.0,530.0,78.0,1498.0,1420.0
78.0,655.0,577.0,78.0,156.0,78.0,93.0,530.0,437.0,109.0,616.0,616.0,62.0,998.0,936.0,390.0,219.0,-171.0,93.0,1638.0,1545.0,78.0,873.0,795.0,78.0,172.0,94.0,78.0,328.0,250.0,109.0,1107.0,998.0
94.0,764.5,1747.0,78.0,125.0,47.0,93.0,920.0,827.0,109.0,1747.0,1638.0,78.0,765.0,687.0,327.0,156.0,-171.0,93.0,764.0,671.0,94.0,905.0,811.0,78.0,172.0,94.0,78.0,452.0,374.0,94.0,905.0,811.0
94.0,967.0,873.0,78.0,141.0,63.0,78.0,2464.0,2386.0,110.0,1498.0,1388.0,94.0,1732.0,1638.0,624.0,405.0,-219.0,94.0,1732.0,1638.0,109.0,749.0,640.0,93.0,452.0,359.0,78.0,686.0,608.0,110.0,2060.0,1950.0
94.0,999.0,905.0,78.0,125.0,47.0,109.0,514.0,405.0,78.0,499.0,499.0,94.0,1420.0,1326.0,484.0,328.0,-156.0,93.0,499.0,499.0,78.0,484.0,406.0,109.0,312.0,203.0,94.0,437.0,343.0,93.0,749.0,656.0
94.0,881.5,881.5,94.0,203.0,109.0,78.0,952.0,874.0,93.0,1029.0,936.0,78.0,656.0,578.0,577.0,327.0,-250.0,109.0,1825.0,1716.0,94.0,1186.0,1092.0,78.0,187.0,109.0,94.0,390.0,296.0,78.0,967.0,889.0
94.0,452.5,452.5,93.0,156.0,63.0,109.0,514.0,405.0,94.0,452.5,452.5,94.0,499.0,405.0,546.0,343.0,-203.0,94.0,452.5,452.5,109.0,515.0,406.0,93.0,312.0,219.0,78.0,374.0,296.0,94.0,796.0,702.0
62.0,748.0,686.0,78.0,141.0,63.0,93.0,452.0,359.0,109.0,366.5,366.5,78.0,265.0,187.0,374.0,187.0,-187.0,78.0,686.0,608.0,94.0,468.0,374.0,110.0,328.0,218.0,78.0,343.0,265.0,94.0,655.0,561.0
78.0,452.0,452.0,78.0,140.0,62.0,94.0,499.0,405.0,109.0,452.0,452.0,78.0,656.0,578.0,374.0,203.0,-171.0,93.0,592.0,499.0,94.0,203.0,109.0,94.0,328.0,234.0,93.0,390.0,297.0,93.0,827.0,734.0
78.0,671.0,593.0,94.0,141.0,47.0,93.0,436.0,343.0,94.0,562.0,1342.0,78.0,936.0,858.0,343.0,202.0,-141.0,78.0,656.0,578.0,78.0,249.0,171.0,94.0,312.0,218.0,78.0,624.0,546.0,78.0,780.0,702.0
94.0,593.0,499.0,93.0,156.0,63.0,93.0,421.0,328.0,94.0,460.0,1060.0,94.0,812.0,718.0,312.0,140.0,-172.0,94.0,515.0,421.0,93.0,281.0,188.0,93.0,421.0,328.0,93.0,608.0,515.0,94.0,811.0,717.0
62.0,413.5,413.5,94.0,172.0,78.0,109.0,546.0,437.0,93.0,686.0,593.0,78.0,390.0,312.0,375.0,219.0,-156.0,93.0,624.0,531.0,93.0,374.0,281.0,94.0,218.0,124.0,94.0,453.0,359.0,78.0,795.0,717.0
78.0,405.5,873.0,78.0,156.0,78.0,78.0,640.0,562.0,94.0,421.0,327.0,78.0,531.0,453.0,343.0,171.0,-172.0,78.0,655.0,577.0,94.0,234.0,140.0,94.0,328.0,234.0,78.0,390.0,312.0,94.0,530.0,436.0
94.0,483.5,483.5,78.0,187.0,109.0,94.0,406.0,312.0,94.0,936.0,842.0,94.0,764.0,670.0,328.0,188.0,-140.0,78.0,639.0,561.0,94.0,281.0,187.0,94.0,562.0,468.0,93.0,421.0,328.0,78.0,577.0,499.0
93.0,421.5,421.5,78.0,141.0,63.0,93.0,390.0,297.0,93.0,1029.0,936.0,78.0,702.0,624.0,390.0,250.0,-140.0,94.0,671.0,577.0,93.0,249.0,156.0,78.0,312.0,234.0,94.0,453.0,359.0,109.0,749.0,640.0
94.0,999.0,905.0,78.0,156.0,78.0,78.0,405.0,327.0,94.0,905.0,811.0,78.0,328.0,250.0,421.0,281.0,-140.0,78.0,717.0,639.0,78.0,187.0,109.0,94.0,312.0,218.0,78.0,500.0,422.0,109.0,366.5,366.5
78.0,444.5,444.5,78.0,156.0,78.0,94.0,421.0,327.0,94.0,444.5,444.5,94.0,468.0,374.0,266.0,125.0,-141.0,78.0,655.0,577.0,63.0,203.0,140.0,94.0,343.0,249.0,78.0,765.0,687.0,109.0,873.0,764.0
78.0,577.0,499.0,94.0,156.0,62.0,78.0,344.0,266.0,109.0,904.0,795.0,94.0,624.0,530.0,297.0,156.0,-141.0,78.0,624.0,546.0,94.0,188.0,94.0,93.0,514.0,421.0,94.0,406.0,312.0,78.0,718.0,640.0
78.0,640.0,562.0,93.0,140.0,47.0,94.0,531.0,437.0,109.0,967.0,858.0,93.0,764.0,671.0,328.0,172.0,-156.0,93.0,577.0,484.0,94.0,203.0,109.0,93.0,343.0,250.0,78.0,312.0,234.0,94.0,608.0,514.0
93.0,873.0,780.0,94.0,156.0,62.0,94.0,437.0,343.0,109.0,429.5,429.5,78.0,500.0,422.0,390.0,234.0,-156.0,78.0,717.0,639.0,94.0,187.0,93.0,110.0,312.0,202.0,94.0,437.0,343.0,94.0,577.0,483.0
78.0,577.0,499.0,94.0,172.0,78.0,93.0,476.0,476.0,109.0,1233.0,1124.0,109.0,889.0,780.0,421.0,281.0,-140.0,93.0,546.0,453.0,93.0,187.0,94.0,93.0,327.0,234.0,94.0,328.0,234.0,94.0,624.0,530.0
78.0,366.5,967.0,78.0,125.0,47.0,94.0,406.0,312.0,93.0,858.0,765.0,78.0,390.0,312.0,343.0,172.0,-171.0,93.0,639.0,546.0,109.0,203.0,94.0,78.0,343.0,265.0,78.0,390.0,312.0,94.0,749.0,655.0
