H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.5,UD.e.5,H.5,DD.5.R,UD.5.R,H.R,DD.R.o,UD.R.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return
78.0,842.0,764.0,109.0,94.0,-15.0,109.0,998.0,889.0,125.0,609.0,484.0,93.0,514.0,421.0,125.0,749.0,624.0,94.0,312.0,218.0,94.0,156.0,62.0,94.0,312.0,218.0,109.0,4789.0,4680.0
94.0,421.0,327.0,110.0,219.0,109.0,93.0,296.0,203.0,141.0,1311.0,1170.0,109.0,530.0,421.0,125.0,296.0,171.0,110.0,484.0,374.0,125.0,172.0,47.0,93.0,436.0,343.0,110.0,827.0,717.0
94.0,359.0,265.0,109.0,203.0,94.0,109.0,468.0,359.0,140.0,952.0,812.0,93.0,577.0,484.0,109.0,296.0,187.0,94.0,328.0,234.0,140.0,171.0,31.0,110.0,437.0,327.0,109.0,624.0,515.0
94.0,390.0,296.0,94.0,203.0,109.0,94.0,265.0,171.0,110.0,1654.0,1544.0,78.0,515.0,437.0,109.0,1482.0,1373.0,109.0,281.0,172.0,124.0,124.0,0.0,94.0,390.0,296.0,110.0,718.0,608.0
93.0,343.0,250.0,94.0,172.0,78.0,93.0,187.0,94.0,171.0,1107.0,936.0,110.0,609.0,499.0,156.0,1045.0,889.0,109.0,468.0,359.0,140.0,624.0,484.0,94.0,452.0,358.0,110.0,515.0,405.0
93.0,358.0,265.0,110.0,172.0,62.0,156.0,343.0,187.0,141.0,1201.0,1060.0,110.0,671.0,561.0,141.0,484.0,343.0,171.0,234.0,63.0,156.0,187.0,31.0,140.0,546.0,406.0,156.0,5476.0,5320.0
94.0,421.0,327.0,110.0,172.0,62.0,125.0,1248.0,1123.0,109.0,390.0,281.0,94.0,546.0,452.0,125.0,281.0,156.0,109.0,2355.0,2246.0,172.0,406.0,234.0,172.0,780.0,608.0,140.0,702.0,562.0
156.0,344.0,188.0,109.0,124.0,15.0,110.0,266.0,156.0,140.0,1123.0,983.0,125.0,530.0,405.0,125.0,250.0,125.0,109.0,203.0,94.0,124.0,249.0,125.0,125.0,531.0,406.0,124.0,2995.0,2871.0
125.0,359.0,234.0,93.0,499.0,406.0,140.0,421.0,281.0,156.0,952.0,796.0,109.0,639.0,530.0,110.0,328.0,218.0,109.0,343.0,234.0,109.0,219.0,110.0,109.0,686.0,577.0,125.0,702.0,577.0
109.0,390.0,281.0,94.0,250.0,156.0,109.0,312.0,203.0,140.0,1419.0,1279.0,94.0,468.0,374.0,125.0,250.0,125.0,109.0,218.0,109.0,125.0,203.0,78.0,94.0,468.0,374.0,125.0,655.0,530.0
