H.PERIOD,DD.PERIOD.t,UD.PERIOD.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.5,UD.e.5,H.5,DD.5.SHIFT,UD.5.SHIFT,H.SHIFT,DD.SHIFT.R,UD.SHIFT.R,H.R,DD.R.o,UD.R.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return
94.0,297.0,203.0,93.0,203.0,110.0,124.0,265.0,141.0,93.0,281.0,188.0,93.0,280.0,187.0,312.0,156.0,-156.0,141.0,234.0,93.0,94.0,203.0,109.0,141.0,187.0,46.0,94.0,406.0,312.0,94.0,3089.0,2995.0
93.0,421.0,328.0,93.0,593.0,500.0,109.0,390.0,281.0,93.0,421.0,328.0,78.0,2371.0,2293.0,156.0,31.0,-125.0,109.0,515.0,406.0,109.0,764.0,655.0,94.0,484.0,390.0,94.0,406.0,312.0,93.0,8205.0,8112.0
125.0,312.0,187.0,109.0,218.0,109.0,94.0,250.0,156.0,93.0,421.0,328.0,156.0,686.0,530.0,406.0,172.0,-234.0,156.0,312.0,156.0,125.0,452.0,327.0,125.0,312.0,187.0,78.0,422.0,344.0,109.0,483.0,374.0
109.0,343.0,234.0,94.0,250.0,156.0,109.0,265.0,156.0,125.0,328.0,203.0,124.0,889.0,765.0,343.0,218.0,-125.0,125.0,281.0,156.0,94.0,234.0,140.0,140.0,156.0,16.0,78.0,296.0,218.0,141.0,749.0,608.0
93.0,249.0,156.0,109.0,250.0,141.0,93.0,234.0,141.0,125.0,312.0,187.0,109.0,421.0,312.0,265.0,156.0,-109.0,109.0,219.0,110.0,93.0,218.0,125.0,125.0,172.0,47.0,93.0,327.0,234.0,141.0,2262.0,2121.0
109.0,250.0,141.0,78.0,171.0,93.0,110.0,266.0,156.0,109.0,265.0,156.0,109.0,281.0,172.0,358.0,234.0,-124.0,124.0,218.0,94.0,94.0,140.0,46.0,156.0,188.0,32.0,93.0,280.0,187.0,125.0,3947.0,3822.0
125.0,250.0,125.0,124.0,218.0,94.0,109.0,250.0,141.0,93.0,280.0,187.0,78.0,406.0,328.0,281.0,172.0,-109.0,78.0,202.0,124.0,94.0,188.0,94.0,140.0,171.0,31.0,94.0,375.0,281.0,124.0,1544.0,1420.0
109.0,218.0,109.0,78.0,203.0,125.0,94.0,219.0,125.0,109.0,265.0,156.0,93.0,343.0,250.0,281.0,172.0,-109.0,109.0,202.0,93.0,94.0,141.0,47.0,140.0,171.0,31.0,78.0,266.0,188.0,156.0,3619.0,3463.0
125.0,218.0,93.0,94.0,203.0,109.0,109.0,297.0,188.0,109.0,280.0,171.0,94.0,375.0,281.0,234.0,109.0,-125.0,94.0,218.0,124.0,94.0,110.0,16.0,156.0,218.0,62.0,94.0,265.0,171.0,125.0,421.0,296.0
125.0,312.0,187.0,93.0,234.0,141.0,93.0,281.0,188.0,140.0,358.0,218.0,94.0,500.0,406.0,358.0,234.0,-124.0,109.0,530.0,421.0,109.0,234.0,125.0,125.0,140.0,15.0,110.0,328.0,218.0,140.0,452.0,312.0
109.0,281.0,172.0,109.0,203.0,94.0,109.0,234.0,125.0,109.0,265.0,156.0,109.0,296.0,187.0,328.0,203.0,-125.0,109.0,187.0,78.0,94.0,156.0,62.0,141.0,141.0,0.0,78.0,281.0,203.0,124.0,9859.0,9735.0
109.0,281.0,172.0,109.0,218.0,109.0,109.0,297.0,188.0,124.0,343.0,219.0,125.0,546.0,421.0,327.0,218.0,-109.0,109.0,328.0,219.0,93.0,140.0,47.0,172.0,312.0,140.0,125.0,390.0,265.0,125.0,6100.0,5975.0
94.0,2636.0,2542.0,110.0,266.0,156.0,93.0,546.0,453.0,124.0,904.0,780.0,78.0,359.0,281.0,406.0,203.0,-203.0,125.0,1201.0,1076.0,109.0,281.0,172.0,140.0,234.0,94.0,78.0,499.0,421.0,94.0,1326.0,1232.0
110.0,344.0,234.0,124.0,920.0,796.0,94.0,140.0,46.0,110.0,328.0,218.0,94.0,437.0,343.0,359.0,171.0,-188.0,125.0,250.0,125.0,94.0,203.0,109.0,140.0,171.0,31.0,94.0,297.0,203.0,125.0,515.0,390.0
110.0,250.0,140.0,78.0,172.0,94.0,109.0,343.0,234.0,109.0,296.0,187.0,94.0,359.0,265.0,281.0,172.0,-109.0,93.0,202.0,109.0,94.0,156.0,62.0,141.0,188.0,47.0,93.0,249.0,156.0,94.0,265.0,171.0
125.0,218.0,93.0,94.0,172.0,78.0,93.0,218.0,125.0,141.0,328.0,187.0,93.0,312.0,219.0,343.0,187.0,-156.0,94.0,187.0,93.0,109.0,172.0,63.0,156.0,156.0,0.0,109.0,281.0,172.0,109.0,280.0,171.0
109.0,702.0,593.0,109.0,998.0,889.0,109.0,141.0,32.0,78.0,234.0,156.0,109.0,280.0,171.0,312.0,188.0,-124.0,124.0,187.0,63.0,93.0,125.0,32.0,171.0,156.0,-15.0,109.0,249.0,140.0,125.0,375.0,250.0
109.0,203.0,94.0,109.0,234.0,125.0,93.0,187.0,94.0,109.0,234.0,125.0,109.0,312.0,203.0,624.0,406.0,-218.0,202.0,608.0,406.0,140.0,640.0,500.0,109.0,171.0,62.0,109.0,312.0,203.0,156.0,624.0,468.0
109.0,250.0,141.0,109.0,280.0,171.0,94.0,234.0,140.0,110.0,390.0,280.0,110.0,640.0,530.0,499.0,359.0,-140.0,109.0,312.0,203.0,109.0,249.0,140.0,172.0,172.0,0.0,78.0,421.0,343.0,94.0,702.0,608.0
78.0,1077.0,999.0,93.0,296.0,203.0,109.0,936.0,827.0,172.0,374.0,202.0,94.0,359.0,265.0,297.0,156.0,-141.0,109.0,219.0,110.0,93.0,156.0,63.0,171.0,234.0,63.0,109.0,296.0,187.0,125.0,390.0,265.0
